Starting Year,muni_start,muni_cost,muni_end_amt,net_int,eq_start,equity_cost,equity_end_amt,net_div
10.0,3058606.52,2901408.56,3089192.59,85625.84,3708410.61,2836478.08,3118631.3,74645.01
11.0,3089192.59,2901408.56,3120084.52,86482.1,3118631.3,2836478.08,2583584.9,62773.59
12.0,3120084.52,2901408.56,3151285.37,87346.92,2583584.9,2460557.0485,2044802.36,52003.87
13.0,3151285.37,2901408.56,3182798.22,88220.39,2044802.36,1947430.8222,1473998.5,41158.95
14.0,3182798.22,2901408.56,3214626.2,89102.59,1473998.5,1403808.0949400002,869224.85,29669.48
15.0,3214626.2,2901408.56,3246772.46,89993.62,869224.85,827833.1914880001,228413.96,17496.26
16.0,3246772.46,2901408.56,2776015.47,90893.56,228413.96,217537.1007976001,0.0,4597.64
17.0,2776015.47,2748530.17065952,2118307.15,77714.7,0.0,0.0,0.0,0.0
18.0,2118307.15,2097333.812631904,1436740.45,59302.11,0.0,,0.0,0.0
19.0,1436740.45,1422515.295026381,730449.92,40221.62,0.0,,0.0,0.0
20.0,730449.92,723217.7415052763,,20448.98,0.0,,,0.0
