Starting Year,equity_end_amt,muni_end_amt
1,399000.0,383800.0
2,927874.5,877174.9
3,1490916.66,1382617.1
4,2088881.15,1899070.0
5,2722975.2,2425902.89
6,3400305.77,2967714.49
7,4123824.94,3524929.66
8,4896686.41,4097985.25
9,5722259.31,4687330.47
10,6604142.88,5293427.22
11,5492662.17,5346361.49
12,4550775.0,5399825.1
13,3590424.03,5453823.35
14,2575111.9,5508361.58
15,1501644.65,5563445.2
16,366642.21,5619079.65
17,0.0,4752687.65
18,0.0,3599897.23
19,0.0,2416788.43
20,0.0,1220741.35
21,0.0,0.0
